"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj";"cluster";"gene";"cluster_no"
"Pgm2l1";0,00729439888959922;0,26177563878049;0,559;0,38;1;"DMSO";"Pgm2l1";8
"Hopx";0,00793592900633524;0,223969814803055;0,835;0,801;1;"DMSO";"Hopx";8
"Trak1";0,00828402160372225;0,23150957882957;0,459;0,271;1;"DMSO";"Trak1";8
"Yy1";0,00836425312211359;0,215672944781075;0,553;0,386;1;"DMSO";"Yy1";8
"Rif1";0,00872485957538598;0,200310465287961;0,229;0,12;1;"DMSO";"Rif1";8
"Stard10";0,00998100678775633;0,218250521807101;0,788;0,705;1;"DMSO";"Stard10";8
"Abca16";5,15389843994288e-17;0,813742916675036;0,482;0,047;9,14610817152264e-13;"GW";"Abca1";8
"Scd18";8,9480574229941e-17;0,888169311440858;0,506;0,071;1,58792227028453e-12;"GW";"Scd1";8
"Scd28";7,29943458772891e-11;0,507982095672591;0,928;0,759;1,29535766193837e-06;"GW";"Scd2";8
"Tmsb4x1";1,4338896642274e-09;0,518008287422854;0,958;0,876;2,54458059813794e-05;"GW";"Tmsb4x";8
"Srebf18";8,57169790142742e-09;0,592231490430454;0,452;0,165;0,000152113350958731;"GW";"Srebf1";8
"Rps297";6,75082007538877e-08;0,214015869522105;1;1;0,00119800053057849;"GW";"Rps29";8
"Cldn7";6,86735353600835e-07;0,269212465118336;0,994;0,971;0,0121868055850004;"GW";"Cldn7";8
"Abcg11";9,05919939121836e-06;0,351191122965773;0,151;0,012;0,160764552396561;"GW";"Abcg1";8
"Lpcat37";2,38670410140397e-05;0,433641607795006;0,554;0,365;0,423544509835149;"GW";"Lpcat3";8
"Ifi27";3,67551010547068e-05;0,312958542769393;0,452;0,282;0,652256023316828;"GW";"Ifi27";8
"Gng114";5,23751791955742e-05;0,482290394668272;0,404;0,182;0,929449930004659;"GW";"Gng11";8
"Casp8";0,000154093433627816;0,257667059556988;0,404;0,224;1;"GW";"Casp8";8
"Ndufa6";0,000169889673130607;0,239593269270247;0,928;0,912;1;"GW";"Ndufa6";8
"Mylip";0,000198949383256141;0,245678718209752;0,12;0,012;1;"GW";"Mylip";8
"Mgst2";0,000699338048777367;0,324725360027647;0,62;0,471;1;"GW";"Mgst2";8
"Prelid2";0,000802344260819713;0,299928619477144;0,663;0,5;1;"GW";"Prelid2";8
"Acaca";0,00086470091913314;0,257564951741867;0,205;0,082;1;"GW";"Acaca";8
"Fasn5";0,000950998952099551;0,353997361437411;0,349;0,212;1;"GW";"Fasn";8
"Tecr";0,00179888952521983;0,210462138755956;0,892;0,871;1;"GW";"Tecr";8
"H1f0";0,00181754823563819;0,244793242683083;0,825;0,706;1;"GW";"H1f0";8
"Atp5k";0,00244226890189706;0,30678175392731;0,801;0,782;1;"GW";"Atp5k";8
"Ddah2";0,00294857435192727;0,26462104062248;0,422;0,265;1;"GW";"Ddah2";8
"Usp34";0,00384995258126103;0,252797076378069;0,518;0,424;1;"GW";"Usp34";8
"Crip1";0,00488308718211556;0,201251213866516;0,988;1;1;"GW";"Crip1";8
"Acsl38";0,0050177136726516;0,226223993872077;0,331;0,188;1;"GW";"Acsl3";8
"Igsf8";0,00883020602818228;0,26140187285805;0,47;0,406;1;"GW";"Igsf8";8
"Elk4";0,00919898645596983;0,201436237007427;0,139;0,035;1;"GW";"Elk4";8
"Rrbp1";0,00991429954447065;0,214910801731682;0,62;0,535;1;"GW";"Rrbp1";8
