"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"gene"
"Atp5a1";7,55377442350566e-28;-0,241195282662433;0,789;0,821;1,6949159051462e-23;"Atp5a1"
"Acaca";7,80659720996767e-28;0,293070718360595;0,198;0,109;1,75164428197255e-23;"Acaca"
"Reg3a";1,0455105932499e-27;0,835178173564583;0,345;0,246;2,34591666913413e-23;"Reg3a"
"Slc6a20a";1,21639543353948e-27;0,136575729596396;0,289;0,181;2,7293480737759e-23;"Slc6a20a"
"Mvk";4,77861611902162e-27;-0,0695083584698766;0,109;0,203;1,07222588478607e-22;"Mvk"
"Aldh1a1";5,43551746439447e-27;0,496748943214553;0,364;0,266;1,21962140866083e-22;"Aldh1a1"
"Fos";8,44857443092553e-27;-0,333380159200952;0,773;0,8;1,89569113081107e-22;"Fos"
"H2-Q1";9,16515269238163e-27;0,117512045577064;0,242;0,145;2,05647696111659e-22;"H2-Q1"
"Mt1";1,00462637172574e-26;0,767253791245211;0,718;0,707;2,25418065287822e-22;"Mt1"
"H2-Eb1";1,01396516680044e-26;0,785815772832967;0,232;0,138;2,27513504126682e-22;"H2-Eb1"
"Rangrf";1,48843939845593e-26;-0,314171476273012;0,243;0,346;3,33976032225542e-22;"Rangrf"
"Cyp51";1,5298418523534e-26;-0,0642345880608326;0,276;0,393;3,43265914831057e-22;"Cyp51"
"Atp5f1";1,5527027472997e-26;-0,231103403189766;0,81;0,83;3,48395442439107e-22;"Atp5f1"
"Tagln2";1,58002828156496e-26;-0,315155278588062;0,617;0,662;3,54526745817546e-22;"Tagln2"
"Atp5g2";1,97802727957656e-26;-0,203726447574614;0,864;0,867;4,43829760991388e-22;"Atp5g2"
"Hbegf";3,02185871521567e-26;-0,434613594822545;0,457;0,541;6,78044658520092e-22;"Hbegf"
"Agr2";3,37610225872049e-26;-0,322209017969457;0,215;0,329;7,57529824811703e-22;"Agr2"
"Mpc2";4,37042817228669e-26;-0,259000099298546;0,7;0,739;9,80636673297686e-22;"Mpc2"
"Gramd1b";4,42780894162522e-26;0,168617576061432;0,15;0,074;9,93511770321867e-22;"Gramd1b"
"Cat";5,04391446083472e-26;0,308017640031275;0,487;0,402;1,13175352672209e-21;"Cat"
"Ndufs2";5,3110367427941e-26;-0,283499957162304;0,661;0,709;1,19169042434814e-21;"Ndufs2"
"Prxl2a";6,41586151184981e-26;0,264988913540312;0,332;0,232;1,43959100602886e-21;"Prxl2a"
"Rnase4";7,160875218993e-26;0,118901973288399;0,413;0,284;1,60675718163765e-21;"Rnase4"
"H2afz";7,30501319088077e-26;-0,346103847069874;0,851;0,866;1,63909885976983e-21;"H2afz"
"Oat";7,9466579702345e-26;-0,327101715711428;0,64;0,714;1,78307111536122e-21;"Oat"
"Mki67";1,2464544507384e-25;-0,399540844474972;0,176;0,275;2,79679449656682e-21;"Mki67"
"Sdc4";1,31398887094262e-25;-0,406082436209011;0,511;0,583;2,94832822862105e-21;"Sdc4"
"Hist1h1b";1,97471913035243e-25;-0,500484186743869;0,14;0,236;4,43087478468478e-21;"Hist1h1b"
"Tomm40";2,02338981495728e-25;-0,326315654970583;0,484;0,552;4,54008206680115e-21;"Tomm40"
"Creb3l3";2,17040331205304e-25;0,23536896454281;0,436;0,329;4,86995095158462e-21;"Creb3l3"
"Ccl4";2,64049546775248e-25;0,964513035350457;0,233;0,145;5,92474373054301e-21;"Ccl4"
"2010106E10Rik";2,84208471053547e-25;0,346070338721865;0,335;0,245;6,37706967349948e-21;"2010106E10Rik"
"Ppp1r14b";2,85324471345374e-25;-0,371369229687127;0,589;0,643;6,40211048804751e-21;"Ppp1r14b"
"Leap2";2,86354754318993e-25;0,453225833687677;0,254;0,164;6,42522797740957e-21;"Leap2"
"Spint2";3,04715274115568e-25;-0,232505068789313;0,701;0,748;6,83720132060512e-21;"Spint2"
"H2-Aa";3,33168071257512e-25;0,784781956073004;0,132;0,063;7,47562518287606e-21;"H2-Aa"
"Gramd3";3,87116485584465e-25;0,174638662622047;0,365;0,258;8,68611970354422e-21;"Gramd3"
"Id1";4,54145135444868e-25;-0,438566019307409;0,533;0,608;1,01901085491119e-20;"Id1"
"Manf";5,74439858614741e-25;-0,313448416516922;0,657;0,69;1,28892815475975e-20;"Manf"
"Ppia";5,99531052643703e-25;-0,208080558057167;0,967;0,972;1,34522777592194e-20;"Ppia"
"H2afv";6,45533532872562e-25;-0,289390187334755;0,752;0,785;1,44844814105945e-20;"H2afv"
"Ttc39c";7,62274223605578e-25;0,0522267162644246;0,147;0,073;1,7103909029262e-20;"Ttc39c"
"Cyp2c55";8,38248373428891e-25;0,0872900937445999;0,11;0,048;1,88086170029975e-20;"Cyp2c55"
"Cps1";1,07025758611159e-24;-0,332615759733734;0,515;0,602;2,40144397171719e-20;"Cps1"
"Rab25";2,01496571734842e-24;-0,297277402527504;0,597;0,647;4,52118007658639e-20;"Rab25"
"Mfsd2a";2,15564948152798e-24;0,0846764357995329;0,221;0,13;4,83684630665248e-20;"Mfsd2a"
"Gmds";2,23910732371033e-24;-0,283329525736283;0,592;0,651;5,02410901294124e-20;"Gmds"
"Hspa5";2,31409405487788e-24;-0,281940109741133;0,807;0,824;5,19236424033499e-20;"Hspa5"
"B4galt6";2,54505547989194e-24;0,148706742848231;0,431;0,32;5,71059548578153e-20;"B4galt6"
"1110038B12Rik";3,22774742516907e-24;-0,39233638501725;0,559;0,62;7,24241967259435e-20;"1110038B12Rik"
"Ptpn22";3,48054142342042e-24;0,468046190782821;0,265;0,169;7,80963884587074e-20;"Ptpn22"
"Ier2";3,82573271213472e-24;-0,356233996785131;0,733;0,757;8,58417905948788e-20;"Ier2"
"Cks1b";4,13625025949766e-24;-0,2766404167951;0,197;0,295;9,28091833226084e-20;"Cks1b"
"B2m";5,21450128748374e-24;0,289060200056543;0,929;0,895;1,1700297988856e-19;"B2m"
"Gpx1";5,26796533577444e-24;-0,321247366916385;0,704;0,757;1,18202606204107e-19;"Gpx1"
"Slc25a3";6,82852064654221e-24;-0,216043674012923;0,836;0,864;1,53218346267114e-19;"Slc25a3"
"Ugt2b5";1,04389048685738e-23;0,304730668759496;0,315;0,22;2,3422814744106e-19;"Ugt2b5"
"Slc28a1";1,11903370677892e-23;0,0478356949653489;0,111;0,05;2,51088783127055e-19;"Slc28a1"
"Clca3b";1,18559492042578e-23;-0,361584749310153;0,278;0,387;2,66023788245137e-19;"Clca3b"
"Ikzf2";1,3354712609514e-23;0,708204938605764;0,24;0,155;2,99653041532276e-19;"Ikzf2"
"Mrpl12";1,56353788937188e-23;-0,27480141721584;0,677;0,715;3,50826631617262e-19;"Mrpl12"
"Ccnd1";1,5888756076047e-23;-0,272330477085022;0,196;0,293;3,56511908834342e-19;"Ccnd1"
"Prdx2";1,89343494928971e-23;-0,242389376924314;0,719;0,753;4,24848933921624e-19;"Prdx2"
"Sfn";1,9436450483943e-23;-0,372079238880712;0,525;0,583;4,36115075958713e-19;"Sfn"
"Acad11";3,07723202937074e-23;0,148622667890615;0,301;0,203;6,90469322750207e-19;"Acad11"
"Rhoc";3,55441310825128e-23;0,189450255948945;0,336;0,232;7,97539213229422e-19;"Rhoc"
"Acaa2";4,466018691284e-23;0,361181447952789;0,661;0,665;1,0020852739503e-18;"Acaa2"
"Vegfa";4,76971962672237e-23;0,120268034072511;0,23;0,139;1,07022968984396e-18;"Vegfa"
"Pank3";6,21363204552147e-23;0,258993242183065;0,509;0,418;1,39421475837411e-18;"Pank3"
"Hmgb2";7,2400809049795e-23;-0,431991037389472;0,686;0,733;1,6245293534593e-18;"Hmgb2"
"Ces1g";8,99335450207018e-23;0,0788797440778753;0,102;0,045;2,01792888317451e-18;"Ces1g"
"Ehf";9,44508592390815e-23;-0,323186667378536;0,298;0,394;2,11928837960651e-18;"Ehf"
"Adh1";1,08750048188072e-22;0,479329720866788;0,408;0,349;2,44013358124395e-18;"Adh1"
"Aldh1b1";1,28757992916188e-22;-0,35061816348329;0,569;0,631;2,88907184505343e-18;"Aldh1b1"
"Xkr9";1,38679740503156e-22;0,0665706973185465;0,193;0,11;3,11169601740982e-18;"Xkr9"
"Gm10076";1,72550084717986e-22;-0,175455710492503;0,926;0,919;3,87167880090216e-18;"Gm10076"
"Adipor2";1,88785075767303e-22;0,259739356214344;0,556;0,484;4,23595953006674e-18;"Adipor2"
"Apol7a";2,79626885285675e-22;0,0266609550748542;0,213;0,127;6,27426805203997e-18;"Apol7a"
"Acadvl";3,21476170232458e-22;0,267932640008322;0,588;0,535;7,2132823076759e-18;"Acadvl"
"Bzw2";3,44417595549651e-22;-0,273827213753235;0,354;0,442;7,72804200894308e-18;"Bzw2"
"Elf3";3,53659394731469e-22;-0,307079588979806;0,599;0,655;7,93540949898471e-18;"Elf3"
"Defa36";3,82566608234558e-22;-0,361278818632779;0,255;0,354;8,58402955556702e-18;"Defa36"
"Slc12a2";3,82645657392343e-22;-0,430091573459536;0,283;0,387;8,5858032605694e-18;"Slc12a2"
"Stip1";4,46729598193195e-22;-0,225935873336696;0,275;0,361;1,00237187242589e-17;"Stip1"
"Lcp1";4,47549594019907e-22;0,5271706353779;0,274;0,187;1,00421177906187e-17;"Lcp1"
"Gstk1";5,81890018769445e-22;0,147478827151388;0,282;0,187;1,30564482411488e-17;"Gstk1"
"Hspa1a";6,87523850126574e-22;-0,405688604909942;0,07;0,14;1,54266601491401e-17;"Hspa1a"
"Wdtc1";7,48766007894253e-22;0,130121652953166;0,262;0,167;1,68008116851312e-17;"Wdtc1"
