"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj";"cluster";"gene"
"Gcnt3";6,64314518830628e-08;0,61008758580506;0,456;0,061;0,00117889254511683;"6";"Gcnt3"
"Defa3";7,77888271636172e-08;2,14172587375528;0,465;0,012;0,00138044052684555;"6";"Defa3"
"Herpud1";2,34674962764184e-07;0,607068570869995;0,709;0,442;0,00416454188921321;"6";"Herpud1"
"Tspan13";3,7313190662487e-07;0,663863693012069;0,688;0,381;0,00662159881496495;"6";"Tspan13"
"Defa36";3,81130019167374e-07;3,52612748930795;0,334;0,046;0,00676353332014423;"6";"Defa36"
"Ramp1";3,81130019167374e-07;1,26488471582077;0,523;0,006;0,00676353332014423;"6";"Ramp1"
"Hpd";3,81130019167374e-07;0,82718004710008;0,536;0,012;0,00676353332014423;"6";"Hpd"
"Ern2";3,81130019167374e-07;0,546490569126603;0,379;0,005;0,00676353332014423;"6";"Ern2"
"Kit";4,14948667716883e-07;0,627529858947526;0,478;0,032;0,00736367905730381;"6";"Kit"
"Tent5c";5,44010643641901e-07;0,801672871116838;0,563;0,062;0,00965401288206917;"6";"Tent5c"
"Defa17";5,90027789975303e-07;3,73193637964785;0,61;0,202;0,0104706331609017;"6";"Defa17"
"Atp2a3";6,07585865091229e-07;0,405111625583385;0,35;0,036;0,010782218761909;"6";"Atp2a3"
"Ly6e";7,77684646691233e-07;0,74698625808578;0,621;0,301;0,0138007917401826;"6";"Ly6e"
"Rep15";8,25849688076695e-07;0,620857580003542;0,359;0,007;0,014655528564609;"6";"Rep15"
"Atoh1";8,25849688076695e-07;0,613217793883234;0,414;0,009;0,014655528564609;"6";"Atoh1"
"Sytl2";8,25849688076695e-07;0,548176947878828;0,373;0,005;0,014655528564609;"6";"Sytl2"
"Serp1";9,89375778022891e-07;0,831118404602789;0,811;0,566;0,0175574625567942;"6";"Serp1"
"Asph";1,20805170855437e-06;0,724767729277713;0,632;0,239;0,0214380856200058;"6";"Asph"
"Edem2";1,35958840192926e-06;0,696058898366079;0,634;0,285;0,0241272557806367;"6";"Edem2"
"Klf4";1,76329307993454e-06;0,84361177951835;0,637;0,158;0,0312913989965184;"6";"Klf4"
"Defa26";1,76515934465433e-06;1,68828648783754;0,395;0,01;0,0313245177302357;"6";"Defa26"
"Lrrc26";2,83008575288587e-06;0,846894872744244;0,616;0,11;0,0502227017707127;"6";"Lrrc26"
"Nupr1";2,94798403776488e-06;0,954170521520472;0,666;0,351;0,0523149247341755;"6";"Nupr1"
"Neat11";2,99094731158984e-06;0,636357702696743;0,704;0,456;0,0530773509914733;"6";"Neat1"
"Selenos";3,0364461609442e-06;0,786327771450827;0,818;0,554;0,0538847735721157;"6";"Selenos"
"Hgfac";3,72299836291281e-06;0,414418295636936;0,291;0,02;0,0660683289482508;"6";"Hgfac"
"Rab3d";5,95455869247379e-06;0,545151241366237;0,498;0,142;0,10566959855664;"6";"Rab3d"
"Dnajc10";6,37447552929535e-06;0,567046424798944;0,498;0,184;0,113121442742875;"6";"Dnajc10"
"Ttc39a";6,49010888992297e-06;0,357821478386115;0,303;0,043;0,115173472360573;"6";"Ttc39a"
"Gadd45g";7,16119794557004e-06;0,730363741954452;0,513;0,15;0,127082618742086;"6";"Gadd45g"
"S100a13";7,24130713602914e-06;0,40452618291838;0,418;0,132;0,128504236435973;"6";"S100a13"
"Rap1gap";7,75182569435383e-06;0,490488841724904;0,383;0,038;0,137563898772003;"6";"Rap1gap"
"Camk2n1";1,06899371727878e-05;0,443111390881729;0,562;0,295;0,189703625068293;"6";"Camk2n1"
"Liph";1,23336415054123e-05;0,366106761694953;0,304;0,056;0,218872802155046;"6";"Liph"
"Creb3l1";1,26241123605574e-05;0,494932075631889;0,374;0,047;0,224027497950452;"6";"Creb3l1"
"Spcs3";2,02531952980841e-05;0,56826085883263;0,593;0,311;0,359413203759801;"6";"Spcs3"
"Hepacam2";2,36602955391094e-05;0,55183966451836;0,498;0,056;0,419875604637035;"6";"Hepacam2"
"Sdf2l1";2,69155806416791e-05;0,601925601246688;0,577;0,366;0,477643894067238;"6";"Sdf2l1"
"Pla2g10";3,23872985920376e-05;0,464414152467895;0,31;0,006;0,574745000814299;"6";"Pla2g10"
"Foxa3";3,4527812983182e-05;0,516078864788833;0,568;0,274;0,612730569199547;"6";"Foxa3"
"Wars";3,68284510903021e-05;0,451050186831963;0,502;0,261;0,653557693048501;"6";"Wars"
"Tm4sf4";4,54122284821151e-05;0,513973631900153;0,586;0,164;0,805885406643614;"6";"Tm4sf4"
"Npdc1";6,720833795214e-05;0,434492396060594;0,493;0,228;1;"6";"Npdc1"
"Dap";6,93176258672696e-05;0,57318473514529;0,645;0,367;1;"6";"Dap"
"Btg2";7,03813211153735e-05;0,514071028666114;0,743;0,518;1;"6";"Btg2"
"C1galt1c1";7,15442156275364e-05;0,505522359376923;0,523;0,257;1;"6";"C1galt1c1"
"Tecpr1";9,13402480954574e-05;0,427174437805424;0,387;0,101;1;"6";"Tecpr1"
"Defa30";0,000101375060036533;3,52041212677618;0,286;0,053;1;"6";"Defa30"
"Wnt3";0,000129208146895081;0,430951233579846;0,347;0,021;1;"6";"Wnt3"
"Bhlha15";0,000129208146895081;0,357565819496569;0,272;0,006;1;"6";"Bhlha15"
"Mlph";0,000168948798082908;0,353112785428824;0,34;0,118;1;"6";"Mlph"
"Muc3a";0,000198769411349591;0,411247618768378;0,356;0,07;1;"6";"Muc3a"
"Gde1";0,000219681500784011;0,390567958394529;0,342;0,077;1;"6";"Gde1"
"Reg4";0,000234328559201142;0,483462211596809;0,431;0,026;1;"6";"Reg4"
"Gm7861";0,000253976368838715;1,33231577997979;0,226;0,01;1;"6";"Gm7861"
"Slc39a7";0,00027917167115738;0,397826138776761;0,482;0,274;1;"6";"Slc39a7"
"Sec61a1";0,000324328483114877;0,470246361521877;0,552;0,319;1;"6";"Sec61a1"
"Car8";0,000423291092159939;0,584654373463364;0,631;0,3;1;"6";"Car8"
"Mcf2l";0,000441478407091163;0,320665052102281;0,271;0,048;1;"6";"Mcf2l"
"Lbh";0,000442955376745065;0,356839704379979;0,32;0,082;1;"6";"Lbh"
"Stx17";0,000466385442567739;0,374501863981376;0,415;0,178;1;"6";"Stx17"
"Cracr2a";0,000598643256460826;0,514704874680518;0,371;0,028;1;"6";"Cracr2a"
"Nucb2";0,000708342670984746;0,444186819132606;0,339;0,043;1;"6";"Nucb2"
"Rab15";0,000708342670984746;0,389733916933081;0,339;0,043;1;"6";"Rab15"
"Rab27b";0,000728134206677951;0,427340501527463;0,368;0,089;1;"6";"Rab27b"
"Pnliprp2";0,000851738709392627;0,609437300534943;0,359;0,066;1;"6";"Pnliprp2"
"Kctd14";0,00108203521481695;0,421487069213538;0,434;0,203;1;"6";"Kctd14"
"Bace2";0,00120312498306871;0,340863907604488;0,266;0,021;1;"6";"Bace2"
"Impad1";0,00125257817972188;0,426215353250234;0,499;0,281;1;"6";"Impad1"
"Dll1";0,00178450979832794;0,337794034758385;0,248;0,046;1;"6";"Dll1"
"Ang4";0,00182346989838934;1,45652618120516;0,231;0,008;1;"6";"Ang4"
"Fam174b";0,00191218041624988;0,29417158298812;0,312;0,111;1;"6";"Fam174b"
"Snhg18";0,00231825558155753;0,434451118311248;0,499;0,247;1;"6";"Snhg18"
"Galnt7";0,00299180243257156;0,745135402582171;0,71;0,386;1;"6";"Galnt7"
"Gfpt11";0,00336595188237108;0,46226948802943;0,656;0,455;1;"6";"Gfpt1"
"Galnt12";0,00428928784063687;0,535334585859693;0,458;0,144;1;"6";"Galnt12"
"Rap1gapos";0,00438239897547287;0,381834710116214;0,308;0,025;1;"6";"Rap1gapos"
"Tmprss2";0,00491596875996143;0,5395286107892;0,585;0,324;1;"6";"Tmprss2"
"Gm14207";0,00614282374540837;0,477289648695491;0,476;0,133;1;"6";"Gm14207"
"Cdhr5";0,00722472383206404;0,403986070607344;0,493;0,231;1;"6";"Cdhr5"
"Chga";7,36836833460663e-16;3,52134392923125;0,82;0,014;1,30759064465929e-11;"7";"Chga"
"Chgb";2,32129917195101e-15;5,06936033151691;0,85;0,028;4,11937751054426e-11;"7";"Chgb"
"Aplp1";1,84822816550382e-13;1,44614453088824;0,708;0,017;3,27986570250308e-09;"7";"Aplp1"
"Cacna1a";3,72409254003484e-13;1,38525014100067;0,736;0,076;6,60877462154583e-09;"7";"Cacna1a"
"Hmgn3";5,24536944091535e-13;1,88262148575675;0,697;0,005;9,30843260984837e-09;"7";"Hmgn3"
"Neurod1";5,24536944091535e-13;1,69172311456958;0,765;0,004;9,30843260984837e-09;"7";"Neurod1"
"Cpe";3,45228367496373e-12;2,15666972234053;0,785;0,007;6,12642260959064e-08;"7";"Cpe"
"Smim61";3,61947954270798e-12;0,951896809482738;0,789;0,458;6,42312839648958e-08;"7";"Smim6"
"Pcsk1";3,79152512882908e-12;1,64729367757461;0,774;0,019;6,72844049362008e-08;"7";"Pcsk1"
"Tuba1a";5,97675935018052e-12;1,40953234293855;0,701;0,03;1,06063571428303e-07;"7";"Tuba1a"
"Insm1";6,43442137922412e-12;1,3423955498399;0,689;0,005;1,14185241795711e-07;"7";"Insm1"
"Tm4sf41";2,09975539714976e-11;1,76318439884702;0,819;0,173;3,72622592778196e-07;"7";"Tm4sf4"
"Sct";2,38307854689204e-11;3,1069838214079;0,754;0,067;4,22901118931462e-07;"7";"Sct"
"Cplx2";3,92220700190541e-11;1,18804395521228;0,645;0,022;6,96034854558134e-07;"7";"Cplx2"
"Hepacam21";6,54017647156376e-11;1,49881874091784;0,799;0,063;1,1606197166437e-06;"7";"Hepacam2"
"Pam";7,24347747875379e-11;1,54188369463222;0,693;0,024;1,28542751337965e-06;"7";"Pam"
"Bex3";7,37377389979862e-11;1,6789723869124;0,889;0,441;1,30854991625826e-06;"7";"Bex3"
"Fxyd31";9,52102592148385e-11;1,53147042512421;0,87;0,355;1,68960126002652e-06;"7";"Fxyd3"
"Selenom1";1,06534312826118e-10;1,13991655756186;0,936;0,196;1,89055791541229e-06;"7";"Selenom"
"Celf3";1,83719818514527e-10;1,03883566311125;0,567;0,002;3,26029189935879e-06;"7";"Celf3"
"Bex2";1,90023388894476e-10;1,56334808311072;0,657;0,012;3,37215505932138e-06;"7";"Bex2"
"Fam183b";4,37161074789692e-10;1,7496607616069;0,792;0,054;7,75786043321787e-06;"7";"Fam183b"
"Map1b";4,57935581005576e-10;1,20198776943858;0,576;0,003;8,12652482052496e-06;"7";"Map1b"
"Rimbp2";4,57935581005576e-10;0,96643860687162;0,507;0,003;8,12652482052496e-06;"7";"Rimbp2"
"Selenop";4,72528169013213e-10;1,61208508636639;0,765;0,155;8,38548488730848e-06;"7";"Selenop"
"S100a131";5,40495802294768e-10;1,2265602492143;0,627;0,136;9,59163850752296e-06;"7";"S100a13"
"Gch11";1,03172921307244e-09;1,3519128129691;0,703;0,228;1,83090666151835e-05;"7";"Gch1"
"Gfra3";1,12215689168096e-09;1,28259733065058;0,608;0,004;1,99137961997703e-05;"7";"Gfra3"
"Scg5";1,25976498823253e-09;1,38894217337007;0,651;0,004;2,23557894811745e-05;"7";"Scg5"
"Maged1";1,83857826078156e-09;1,15711633935444;0,701;0,178;3,26274098158295e-05;"7";"Maged1"
