"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"gene"
"Cnpy2";3,8522805160299e-151;-0,39612834330865;0,281;0,425;8,64374702186789e-147;"Cnpy2"
"Nupr1";4,90975194378257e-149;-0,541930424715645;0,354;0,485;1,10165014114593e-144;"Nupr1"
"Sumo2";3,00340589827537e-148;-0,362979023061986;0,446;0,592;6,73904215455028e-144;"Sumo2"
"Ndufb9";1,51670717778912e-147;-0,352715573481678;0,596;0,726;3,40318756552324e-143;"Ndufb9"
"Atp6v1f";2,13679372237147e-147;-0,363719338701208;0,416;0,568;4,7945377542571e-143;"Atp6v1f"
"Jun";2,14274481399471e-147;0,728786080024834;0,777;0,701;4,80789081364132e-143;"Jun"
"Mgst1";4,03315859565996e-147;-0,531148286915324;0,314;0,445;9,04960125694182e-143;"Mgst1"
"Taf10";3,11390742857449e-144;-0,389058034524411;0,181;0,312;6,98698548823544e-140;"Taf10"
"Ednrb";1,40859234977697e-143;0,911461280127392;0,246;0,132;3,16059951442957e-139;"Ednrb"
"Arpc3";3,22954306488025e-141;-0,446763884149326;0,555;0,691;7,2464487289783e-137;"Arpc3"
"Rbp1";4,86238568807057e-140;-0,505882084079061;0,392;0,53;1,09102210068927e-135;"Rbp1"
"Atp6v0e";1,65072372736565e-138;-0,379021457065132;0,405;0,547;3,70389389946304e-134;"Atp6v0e"
"Ctsl";2,25688700789078e-138;-0,369119928024894;0,675;0,776;5,06400306830533e-134;"Ctsl"
"Acsl3";4,54627572047235e-138;0,438653682727105;0,203;0,1;1,02009334615959e-133;"Acsl3"
"Hist1h2bc";1,3263569388679e-137;-0,424099724107545;0,148;0,267;2,97607969943179e-133;"Hist1h2bc"
"Cavin3";1,89308540722857e-136;-0,436063323933135;0,388;0,528;4,24770503673947e-132;"Cavin3"
"Psmb1";2,13390934513969e-136;-0,35174193304931;0,412;0,554;4,78806578862445e-132;"Psmb1"
"Gsta3";7,92375049832914e-136;-0,459653559690289;0,143;0,259;1,77793113681509e-131;"Gsta3"
"Ndufa7";3,75328220028597e-133;-0,338669976030645;0,592;0,721;8,42161460100165e-129;"Ndufa7"
"Psmb6";4,43805409826498e-133;-0,345177728532494;0,371;0,516;9,95810578568696e-129;"Psmb6"
"Psma2";7,25818649937361e-133;-0,353914916052727;0,356;0,497;1,62859188672945e-128;"Psma2"
"Vegfa";2,51679029369074e-131;0,649207507040081;0,255;0,146;5,64717406098327e-127;"Vegfa"
