"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"gene"
"Rack1";2,16725536616997e-85;0,243026380730918;0,938;0,923;4,86288759061219e-81;"Rack1"
"Iglv1";3,92646551329722e-85;-0,828733547640503;0,131;0,205;8,8102033187363e-81;"Iglv1"
"Ddx39b";5,94972747951019e-85;0,350674424593663;0,395;0,291;1,3349998518525e-80;"Ddx39b"
"Ciao2b";8,32987594421269e-85;-0,305823959728155;0,123;0,203;1,86905756436244e-80;"Ciao2b"
"Sap18";1,03094706228507e-84;-0,424261189402737;0,209;0,297;2,31323901835523e-80;"Sap18"
"Jun";1,03867594046882e-83;0,320612340051722;0,653;0,557;2,33058107522394e-79;"Jun"
"Rasgef1b";1,41715234370608e-83;0,546171633907763;0,178;0,103;3,17980642880769e-79;"Rasgef1b"
"Msmo1";1,81197741370908e-83;0,409751971687694;0,226;0,142;4,06571492088044e-79;"Msmo1"
"Ighm";5,34082534704616e-83;0,176203912798938;0,408;0,295;1,19837439137022e-78;"Ighm"
"Arpc4";5,42274247844198e-83;0,389698382385917;0,413;0,317;1,21675495731281e-78;"Arpc4"
"Clk1";5,81073185215589e-83;0,314387695730095;0,82;0,756;1,30381201298674e-78;"Clk1"
"Tmem160";1,25331965255373e-82;-0,401617632958227;0,285;0,368;2,81219863640007e-78;"Tmem160"
"Fkbp11";1,5629994921144e-82;-0,406726519090674;0,091;0,16;3,5070582604063e-78;"Fkbp11"
"Srebf2";2,89851954221933e-82;0,385923776149519;0,451;0,352;6,50369814883173e-78;"Srebf2"
"Cox6b1";3,2781913605752e-82;-0,355884806880742;0,409;0,502;7,35560577485862e-78;"Cox6b1"
"Map1lc3b";4,587333232899e-82;-0,315688288863766;0,438;0,526;1,02930583079788e-77;"Map1lc3b"
"Rhob";5,40590167799667e-82;0,500902732855108;0,371;0,287;1,21297621850889e-77;"Rhob"
"Timm17b";1,16777271856672e-81;-0,281459028989655;0,093;0,164;2,62024842592e-77;"Timm17b"
"Stard4";2,7476690232783e-81;0,406900016505949;0,2;0,121;6,16521975443185e-77;"Stard4"
"Sc5d";3,00194537047639e-81;0,369106610837317;0,187;0,111;6,73576502227492e-77;"Sc5d"
"Srp9";4,63779315242584e-81;-0,370431926309173;0,447;0,513;1,04062802754131e-76;"Srp9"
"Plekho2";7,74964218157514e-81;0,420150673690608;0,263;0,177;1,73886471270183e-76;"Plekho2"
"Abcb1a";1,05898022954107e-80;-0,504789168900931;0,119;0,194;2,37613983904425e-76;"Abcb1a"
"Mrps14";1,1180126846106e-80;-0,374087542144536;0,23;0,317;2,50859686172926e-76;"Mrps14"
"Ddt";2,91940397954017e-80;-0,318165250287713;0,09;0,159;6,55055864929222e-76;"Ddt"
"Atp2a3";8,91293444738998e-80;0,400058934653539;0,272;0,186;1,99988423130536e-75;"Atp2a3"
"Ccr7";2,54278458391465e-79;0,605955184564923;0,262;0,177;5,70550004938769e-75;"Ccr7"
"Ndufa4";4,68995882508846e-79;-0,380650439419305;0,485;0,56;1,05233296117335e-74;"Ndufa4"
"Fis1";4,87220472546206e-79;-0,346624637238894;0,277;0,365;1,09322529629918e-74;"Fis1"
"Pcyt2";8,00313840394655e-79;0,339745772253953;0,161;0,091;1,79574419507753e-74;"Pcyt2"
"Ikzf1";2,49368072731451e-78;0,379033214516463;0,424;0,324;5,59532081594831e-74;"Ikzf1"
"Klf4";8,38549944548017e-78;0,487339125791199;0,385;0,291;1,88153836557684e-73;"Klf4"
"Fkbp2";1,90534877805202e-77;-0,559632747615024;0,252;0,315;4,27522158819312e-73;"Fkbp2"
"Cst3";5,34236401477221e-77;0,155519528339339;0,398;0,486;1,19871963763459e-72;"Cst3"
"Cox4i1";6,99131837999349e-77;-0,263398315071747;0,691;0,764;1,56871201810294e-72;"Cox4i1"
"Lcp1";8,7560125971875e-77;0,371577679884322;0,628;0,56;1,96467410655693e-72;"Lcp1"
"Trp53inp2";4,69713680221062e-76;0,420206121743866;0,206;0,129;1,05394355568002e-71;"Trp53inp2"
"Sh2d2a";8,99143568117987e-76;-0,61174415740056;0,249;0,333;2,01749833814314e-71;"Sh2d2a"
"Lypla2";9,11287443640088e-76;0,304104998157312;0,233;0,149;2,04474676603963e-71;"Lypla2"
"Atp11b";1,09047696295085e-75;0,459861728660793;0,3;0,212;2,44681220946913e-71;"Atp11b"
"Cnpy2";1,9893774026223e-75;-0,285294993987413;0,131;0,203;4,46376501600391e-71;"Cnpy2"
"Hcls1";2,15279870039782e-75;0,349974056847369;0,306;0,215;4,83044972395262e-71;"Hcls1"
"Gmfg";9,67795868665394e-75;-0,450706476875216;0,217;0,3;2,17154037011141e-70;"Gmfg"
"Stat4";1,25576868075262e-74;-0,460596078163112;0,215;0,299;2,81769376587274e-70;"Stat4"
"Grcc10";1,35440770021633e-74;-0,384839180204566;0,355;0,442;3,03901999774541e-70;"Grcc10"
"Manf";3,01877232870747e-74;-0,520024543469954;0,389;0,45;6,77352135115382e-70;"Manf"
"Ndufb8";3,17963285109334e-74;-0,354139415818018;0,228;0,31;7,13446019128325e-70;"Ndufb8"
"Timm8b";3,87792438542071e-74;-0,320719884817435;0,108;0,177;8,70128673600699e-70;"Timm8b"
"Coro1a";6,69111398534202e-74;0,343138353131168;0,69;0,634;1,50135215603104e-69;"Coro1a"
"Fos";1,41895885876878e-73;0,393876503897575;0,626;0,548;3,18385988730538e-69;"Fos"
"Tab2";1,74466017061317e-73;0,349835271324337;0,418;0,321;3,91466849082184e-69;"Tab2"
"Trappc2l";2,05004133584121e-73;-0,290374241538835;0,153;0,229;4,59988274936051e-69;"Trappc2l"
"Ywhaz";6,13589913270854e-73;0,277297248294705;0,744;0,682;1,37677304739714e-68;"Ywhaz"
"Dnajc15";7,67566529638409e-73;-0,432563748677882;0,125;0,196;1,72226577920266e-68;"Dnajc15"
"Sf1";1,87535003112322e-72;0,344540536825774;0,483;0,386;4,20791039983428e-68;"Sf1"
"Sat1";3,77403607109832e-72;0,345822562309142;0,399;0,308;8,46818213633041e-68;"Sat1"
"Gm49980";2,04756965436444e-71;0,299536845001036;0,136;0,075;4,59433679046294e-67;"Gm49980"
"Tmem167";3,74086498285824e-71;-0,339555025519213;0,254;0,336;8,39375284853733e-67;"Tmem167"
"Sys1";6,80868122855861e-71;-0,290225665487657;0,172;0,251;1,52773189406398e-66;"Sys1"
"Prkcd";7,50837828867203e-71;0,40064723768695;0,308;0,224;1,68472992041223e-66;"Prkcd"
"Mrpl57";1,5088910325808e-70;-0,401931319552906;0,263;0,336;3,38564969890479e-66;"Mrpl57"
